;1;2;3;4;5;6;7;8;9;10;11;12
Brunei Darussalam;1?713;1?440;2?591;1?993;1?897;1?365;1?518;1?911;1?991;1?767;1?848;3?421
Malaysia;149?488;142?045;172?097;171?536;176?147;176?276;174?367;194?468;174?748;178?780;183?880;228?056
Philippines;24?536;23?163;24?054;27?855;27?567;21?973;28?649;25?715;25?885;26?702;25?439;27?439
Singapore;118?433;91?255;135?441;135?619;117?526;134?699;114?722;125?318;126?039;116?585;132?776;205?706
Thailand;8?677;8?785;9?673;14?420;13?147;8?432;14?652;12?883;11?643;13?887;10?854;11?182
Vietnam;5?062;5?217;5?423;6?323;6?507;6?763;9?722;7?311;6?511;6?457;6?115;6?055
Laos;255;229;237;334;698;283;626;372;202;222;228;350
Cambodia;466;452;417;692;623;311;701;562;686;670;482;444
Myanmar/Burma;3?817;3?244;3?546;5?762;4?202;3?945;3?988;4?106;3?806;3?863;3?420;4?434
Indonesia;22?339;16?982;20?553;19?733;21?448;26?880;19?266;18?609;18?018;16?528;21?089;20?386
Hong Kong;8?827;7?028;7?921;9?221;7?986;8?154;9?779;9?351;7?902;8?175;6?968;6?960
India;39?547;34?516;37?987;41?909;51?318;53?313;48?799;41?822;47?606;43?397;41?883;54?805
Japan;40?958;41?563;49?299;42?189;43?863;41?203;55?621;71?223;58?601;46?189;39?446;43?155
South Korea;36?221;35?616;30?953;36?376;34?092;35?093;44?793;41?200;39?059;33?284;31?675;24?829
Pakistan;787;779;938;814;808;436;1?050;1?063;1?074;1?167;1?155;1?353
Bangladesh;6?280;3?312;4?021;3?390;4?018;5?414;4?907;4?719;5?819;3?813;4?202;6?608
Srilanka;2?251;1?884;2?188;3?972;3?524;1?894;2?901;3?088;3?821;3?255;3?448;3?443
Taiwan;25?013;21?928;24?449;21?806;24?166;22?742;26?197;24?310;21?142;20?019;17?011;15?495
China;206?939;199?440;147?016;168?372;167?452;166?457;223?917;230?810;188?828;171?779;148?306;73?855
Afganistan;14;33;73;29;40;16;65;31;36;105;98;55
Bhutan;53;62;39;61;39;34;62;52;70;33;55;50
British Indian Ocean Teritory;0;0;0;0;0;0;0;0;0;0;0;0
Kazakhstan;859;863;663;448;633;476;602;563;445;583;364;720
Kyrgyzstan;175;159;81;96;83;50;119;104;75;107;107;98
North Korea;10;9;16;6;6;17;23;17;8;6;11;11
Macao;37;39;71;46;44;58;50;82;52;72;29;38
Mongolia;348;368;181;182;203;95;231;123;145;119;190;229
Maldives;116;151;165;162;176;167;270;497;217;155;161;431
Nepal;878;845;647;1?014;666;736;1?216;1?275;1?514;1?555;976;1?499
Stateless;0;0;0;0;1;1;0;1;2;1;0;0
Tajikstan;46;27;14;39;13;13;37;41;26;37;22;35
Tibet;0;0;0;0;0;0;0;0;0;0;0;0
Timor Leste;81?314;76?813;49?139;79?285;79?132;80?709;85?252;90?540;85?255;85?617;77?593;89?377
Turkey;2?312;2?182;2?603;2?281;2?961;2?716;3?258;3?836;2?845;3?342;2?712;3?385
Turkmenistan;30;22;22;19;20;8;16;24;21;12;17;22
Uzbekistan;701;698;305;188;178;208;394;434;205;222;207;317
Saudi Arabia;15?689;13?119;15?079;13?379;6?492;7?514;37?618;31?669;12?557;9?201;10?502;9?267
Bahrain;257;155;173;167;125;123;374;436;184;124;148;191
Kuwait;503;357;317;460;293;399;1?009;1?133;416;302;290;281
Egypt;1?381;1?354;1?508;1?764;1?442;1?243;2?268;2?259;2?080;1?647;1?778;1?621
United Arab Emirates;505;443;827;615;464;433;1?488;1?339;577;390;495;811
Yemen;703;572;702;656;445;526;1?001;1?301;624;645;614;664
Qatar;197;131;81;195;144;98;182;223;155;237;96;120
Irak;170;139;161;128;218;173;221;283;212;155;135;172
Iran;604;619;4?305;500;1?664;827;720;1?375;3?143;890;844;810
Israel;15;47;24;29;74;13;156;108;74;117;20;11
Jordan;420;295;470;586;1?044;362;739;791;595;556;463;452
Lebanon;387;314;416;473;486;471;715;847;667;407;439;493
Oman;1?656;1?013;945;1?121;678;599;4?543;1?994;1?782;1?215;1?546;1?523
Palestine;145;158;168;163;161;118;214;304;149;158;132;165
Syiria;106;121;198;190;228;135;352;316;215;154;190;123
Austria;1?490;1?470;1?679;2?065;2?029;1?972;4?126;3?500;3?038;2?752;1?643;1?444
Aruba;0;0;0;0;0;0;0;0;0;0;0;0
Belgium;1?967;1?939;2?684;3?921;3?577;3?886;9?998;5?499;6?210;3?932;2?626;2?238
Denmark;3?205;3?081;3?346;4?073;2?572;3?599;8?750;3?155;3?206;3?917;2?136;2?681
France;12?884;12?954;16?610;24?586;23?301;19?256;38?963;43?067;28?660;26?954;14?262;12?620
Germany;13?249;13?296;21?650;24?355;20?990;20?632;27?026;35?214;32?855;28?145;16?979;13?432
Italy;4?853;4?565;5?197;6?065;5?415;5?615;9?940;24?035;7?785;6?382;5?413;4?757
Netherlands;12?942;12?774;12?128;17?842;15?447;14?516;35?006;23?325;21?368;18?481;12?659;13?938
Spain;3?346;3?332;4?020;5?688;5?137;5?490;11?678;16?798;9?309;7?220;5?263;4?409
Portugal;2?092;2?011;2?179;3?179;2?607;2?379;3?103;3?972;3?062;3?080;2?644;2?915
Sweden;5?069;4?978;5?310;4?362;2?981;4?005;4?322;2?491;3?182;4?688;3?982;6?047
Switzerland;3?077;3?046;3?369;6?337;4?608;4?097;11?577;6?056;5?776;6?521;3?521;3?206
United Kingdom;24?152;24?758;28?931;36?211;31?389;32?294;37?811;42?203;37?393;33?062;25?033;24?894
Finland;2?446;2?446;2?221;1?928;1?581;1?468;1?304;1?196;1?724;2?372;2?323;3?438
Norway;1?578;1?745;2?048;1?949;1?441;2?622;3?462;1?474;1?529;1?871;1?551;1?568
Andorra;12;3;5;11;10;23;36;43;21;14;9;4
Greece;126;85;142;48;112;117;118;141;50;133;184;116
Iceland ;302;291;380;619;1?581;253;198;150;298;205;183;316
